date,Gold_Close,Oil_Close,usd_vnd,DJI_Close,OT
2015-01-05,1203.9000244140625,50.040000915527344,21046.0,17501.650390625,544.45
2015-01-06,1219.300048828125,47.93000030517578,21097.0,17371.640625,549.66
2015-01-07,1210.5999755859375,48.650001525878906,21083.0,17584.51953125,552.05
2015-01-08,1208.4000244140625,48.790000915527344,21061.0,17907.869140625,553.47
2015-01-09,1216.0,48.36000061035156,21021.0,17737.369140625,569.73
2015-01-12,1232.699951171875,46.06999969482422,21020.0,17640.83984375,574.32
2015-01-13,1234.300048828125,45.88999938964844,21005.0,17613.6796875,580.6
2015-01-14,1234.4000244140625,48.47999954223633,20991.0,17427.08984375,577.01
2015-01-15,1264.699951171875,46.25,21007.0,17320.7109375,577.74
2015-01-16,1276.9000244140625,48.68999862670898,20988.0,17511.5703125,574.81
2015-01-19,1276.9000244140625,48.68999862670898,20993.0,17511.5703125,571.51
2015-01-20,1294.199951171875,46.38999938964844,21004.0,17515.23046875,572.22
2015-01-21,1293.699951171875,47.77999877929688,21036.0,17554.279296875,569.12
2015-01-22,1300.699951171875,46.310001373291016,21009.0,17813.98046875,574.54
2015-01-23,1292.5999755859375,45.59000015258789,20922.0,17672.599609375,582.38
2015-01-26,1279.4000244140625,45.150001525878906,20982.0,17678.69921875,580.64
2015-01-27,1291.699951171875,46.22999954223633,20981.0,17387.2109375,579.3
2015-01-28,1285.9000244140625,44.45000076293945,20988.0,17191.369140625,583.76
2015-01-29,1254.5999755859375,44.52999877929688,20996.0,17416.849609375,583.28
2015-01-30,1278.5,48.2400016784668,21074.0,17164.94921875,576.07
2015-02-02,1276.199951171875,49.56999969482422,20991.0,17361.0390625,570.37
2015-02-03,1259.699951171875,53.04999923706055,20973.0,17666.400390625,557.47
2015-02-04,1263.800048828125,48.45000076293945,21058.0,17673.01953125,561.45
2015-02-05,1262.0,50.47999954223633,20979.0,17884.880859375,567.17
2015-02-06,1233.9000244140625,51.68999862670898,20978.0,17824.2890625,574.13
2015-02-09,1240.800048828125,52.86000061035156,20961.0,17729.2109375,573.55
2015-02-10,1231.5999755859375,50.02000045776367,20970.0,17868.759765625,574.52
2015-02-11,1219.0,48.84000015258789,20968.0,17862.140625,581.76
2015-02-12,1220.0999755859375,51.209999084472656,20943.0,17972.380859375,584.67
2015-02-13,1226.5,52.77999877929688,20986.0,18019.349609375,587.24
2015-02-24,1196.9000244140625,49.27999877929688,20978.0,18209.189453125,596.95
2015-02-25,1201.0,50.9900016784668,21011.0,18224.5703125,592.66
2015-02-26,1209.5999755859375,48.16999816894531,21018.0,18214.419921875,596.72
2015-02-27,1212.5999755859375,49.7599983215332,20984.0,18132.69921875,592.57
2015-03-02,1207.699951171875,49.59000015258789,20989.0,18288.630859375,590.73
